US East (N. Virginia)	aws-codedeploy-us-east-1	us-east-1
US East (Ohio)	aws-codedeploy-us-east-2	us-east-2
US West (N. California)	aws-codedeploy-us-west-1	us-west-1
US West (Oregon)	aws-codedeploy-us-west-2	us-west-2
Canada (Central)	aws-codedeploy-ca-central-1	ca-central-1
EU (Ireland)	aws-codedeploy-eu-west-1	eu-west-1
EU (London)	aws-codedeploy-eu-west-2	eu-west-2
EU (Paris)	aws-codedeploy-eu-west-3	eu-west-3
EU (Frankfurt)	aws-codedeploy-eu-central-1	eu-central-1
Asia Pacific (Tokyo)	aws-codedeploy-ap-northeast-1	ap-northeast-1
Asia Pacific (Seoul)	aws-codedeploy-ap-northeast-2	ap-northeast-2
Asia Pacific (Singapore)	aws-codedeploy-ap-southeast-1	ap-southeast-1
Asia Pacific (Sydney)	aws-codedeploy-ap-southeast-2	ap-southeast-2
Asia Pacific (Mumbai)	aws-codedeploy-ap-south-1	ap-south-1
South America (São Paulo)	aws-codedeploy-sa-east-1	sa-east-1
